# graph/E11.7e1.0r0.05 (this file)
# 11.700000 1.000000 0.050000
# 308 points
# 116 z values
# 64 (x,y) sets
set terminal png nocrop enhanced font verdana 12 size 640,480
set output 'graph/E11.7e1.0r0.05.png'
set zrange[0:54]
set isosamples 100
splot '-' with vectors title 'Paraboloid'
+4.00e+00 -6.00e+00 +2.05e+01 +5.55e-01 -8.32e-01 +0.00e+00 
-5.00e+00 +8.00e+00 +3.48e+01 -5.30e-01 +8.48e-01 +0.00e+00 
+5.00e+00 +8.00e+00 +3.48e+01 +5.30e-01 +8.48e-01 +0.00e+00 
-8.00e+00 +5.00e+00 +3.48e+01 -8.48e-01 +5.30e-01 +0.00e+00 
+8.00e+00 +5.00e+00 +3.48e+01 +8.48e-01 +5.30e-01 +0.00e+00 
-8.00e+00 -5.00e+00 +3.48e+01 -8.48e-01 -5.30e-01 +0.00e+00 
+8.00e+00 -5.00e+00 +3.48e+01 +8.48e-01 -5.30e-01 +0.00e+00 
-5.00e+00 -8.00e+00 +3.48e+01 -5.30e-01 -8.48e-01 +0.00e+00 
+5.00e+00 -8.00e+00 +3.48e+01 +5.30e-01 -8.48e-01 +0.00e+00 
-2.00e+00 +6.00e+00 +1.57e+01 -3.16e-01 +9.49e-01 +0.00e+00 
+2.00e+00 +6.00e+00 +1.57e+01 +3.16e-01 +9.49e-01 +0.00e+00 
-6.00e+00 +2.00e+00 +1.57e+01 -9.49e-01 +3.16e-01 +0.00e+00 
+6.00e+00 +2.00e+00 +1.57e+01 +9.49e-01 +3.16e-01 +0.00e+00 
-6.00e+00 -2.00e+00 +1.57e+01 -9.49e-01 -3.16e-01 +0.00e+00 
+6.00e+00 -2.00e+00 +1.57e+01 +9.49e-01 -3.16e-01 +0.00e+00 
-2.00e+00 -6.00e+00 +1.57e+01 -3.16e-01 -9.49e-01 +0.00e+00 
+2.00e+00 -6.00e+00 +1.57e+01 +3.16e-01 -9.49e-01 +0.00e+00 
-2.00e+00 +5.00e+00 +1.16e+01 -3.71e-01 +9.28e-01 +0.00e+00 
+2.00e+00 +5.00e+00 +1.16e+01 +3.71e-01 +9.28e-01 +0.00e+00 
-5.00e+00 +2.00e+00 +1.16e+01 -9.28e-01 +3.71e-01 +0.00e+00 
+5.00e+00 +2.00e+00 +1.16e+01 +9.28e-01 +3.71e-01 +0.00e+00 
-5.00e+00 -2.00e+00 +1.16e+01 -9.28e-01 -3.71e-01 +0.00e+00 
+5.00e+00 -2.00e+00 +1.16e+01 +9.28e-01 -3.71e-01 +0.00e+00 
-2.00e+00 -5.00e+00 +1.16e+01 -3.71e-01 -9.28e-01 +0.00e+00 
+2.00e+00 -5.00e+00 +1.16e+01 +3.71e-01 -9.28e-01 +0.00e+00 
-1.00e+00 +6.00e+00 +1.47e+01 -1.64e-01 +9.86e-01 +0.00e+00 
+1.00e+00 +6.00e+00 +1.47e+01 +1.64e-01 +9.86e-01 +0.00e+00 
-6.00e+00 +1.00e+00 +1.47e+01 -9.86e-01 +1.64e-01 +0.00e+00 
+6.00e+00 +1.00e+00 +1.47e+01 +9.86e-01 +1.64e-01 +0.00e+00 
-6.00e+00 -1.00e+00 +1.47e+01 -9.86e-01 -1.64e-01 +0.00e+00 
+6.00e+00 -1.00e+00 +1.47e+01 +9.86e-01 -1.64e-01 +0.00e+00 
-1.00e+00 -6.00e+00 +1.47e+01 -1.64e-01 -9.86e-01 +0.00e+00 
+1.00e+00 -6.00e+00 +1.47e+01 +1.64e-01 -9.86e-01 +0.00e+00 
